都道府県,説明
北海道,北海道（ほっかいどう）は、日本の北海道地方に位置する道。47都道府県の中で唯一の「道」であり、道庁所在地は札幌市である。行政区画の「北海道」を構成する最大の島自体も北海道と称されるが、区別するときには北海道本島とも称する。
青森県,青森県（あおもりけん）は、日本の東北地方に位置する県である。県庁所在地は青森市。
岩手県,岩手県（いわてけん）は、日本の東北地方に位置する県。県庁所在地は盛岡市。東北地方の北部（北東北）に所在し、北は青森県、西は秋田県、南は宮城県と境界を接している。
宮城県,宮城県（みやぎけん）は、日本の東北地方に位置する県。県庁所在地は仙台市。県内人口は約225万人で（2023年9月1日の推計人口）、東北地方では最も人口が多い県である。
秋田県,秋田県（あきたけん）は、日本の東北地方に位置する県。県庁所在地は秋田市。
山形県,山形県（やまがたけん）は、日本の東北地方に位置する県。県庁所在地は山形市。
福島県,福島県（ふくしまけん）は、日本の東北地方に位置する県。県庁所在地は福島市。面積は北海道、岩手県に次ぐ全国3位、都道府県別の人口は全国21位、人口密度は全国40位である（いずれも2020年10月1日時点の国勢調査による）[1]。
茨城県,茨城県（いばらきけん）は、日本の関東地方に位置する県。県庁所在地は水戸市。
栃木県,栃木県（とちぎけん）は、日本の関東地方に位置する県。県庁所在地は宇都宮市。
群馬県,群馬県（ぐんまけん）は、日本の関東地方に位置する県。県庁所在地は前橋市。
埼玉県,埼玉県（さいたまけん）は、日本の関東地方に位置する県。県庁所在地はさいたま市。
千葉県,千葉県（ちばけん）は、日本の関東地方に位置する県。県庁所在地は千葉市。
東京都,東京都（とうきょうと、（英: Tokyo Metropolis）は、日本の関東地方に位置する都[1][2]。都庁所在地は新宿区[1][注釈 1]、条例上の位置づけは新宿区西新宿二丁目[3]。詳細は、東京都庁および東京都庁舎を参照。
神奈川県,神奈川県（かながわけん）は、日本の関東地方に位置する県。県庁所在地は横浜市。都道府県別の人口では東京都に次いで第2位[1]、昼間人口及び人口密度は東京都、大阪府に次ぐ第3位、県内総生産は東京都、大阪府、愛知県に次いで第4位となっている[2]。
新潟県,新潟県（にいがたけん）は、日本の中部地方（甲信越地方・北陸地方）に位置する県。県庁所在地は新潟市。令制国の越後国と佐渡国に相当する。
富山県,富山県（とやまけん）は、日本の中部地方（北陸地方）に位置する県。県庁所在地は富山市 [1]。
石川県,石川県（いしかわけん）は、日本の中部地方（北陸地方）に位置する県。県庁所在地は金沢市。
福井県,福井県（ふくいけん）は、日本の中部地方（北陸地方）に位置する県。行政管轄区分において近畿地方に包括される場合もある。令制国の越前国と若狭国に相当する。県庁所在地は福井市。
山梨県,山梨県（やまなしけん）は、日本の中部地方（甲信越地方）に位置する県。県庁所在地は甲府市（こうふし）。
長野県,長野県（ながのけん）は、日本の中部地方（甲信越地方）に位置する県。県庁所在地は長野市。
岐阜県,岐阜県（ぎふけん）は、日本の中部地方（東海地方）に位置する県。県庁所在地は岐阜市。
静岡県,静岡県（しずおかけん 英語: Shizuoka）は、日本の中部地方（東海地方）に位置する県。県庁所在地は静岡市（しずおかし）　。
愛知県,愛知県（あいちけん）は、日本の中部地方（東海地方）に位置する県。県庁所在地は名古屋市。
三重県,三重県（みえけん）は、日本の近畿地方（東海地方）に位置する県。県庁所在地は津市。
滋賀県,滋賀県（しがけん）は、日本の近畿地方に位置する県。県庁所在地は大津市。県の中心には日本最大の湖である琵琶湖があり、面積の約６分の1を占めている。
京都府,京都府（きょうとふ）は、日本の近畿地方に位置する府。府庁所在地は京都市。
大阪府,大阪府（おおさかふ）は、日本の近畿地方に位置する府。府庁所在地は大阪市。近畿圏の経済・交通の中心であり、国内二位の経済規模を有する[1]。古代には難波京が置かれ、中世には自由都市であった堺や平野が台頭した。大坂城が置かれた安土桃山時代以降は水の都である大坂の都心（上町と船場）を中心に繁栄を続けている。
兵庫県,兵庫県（ひょうごけん）は、日本の近畿地方に位置する県である。県庁所在地は神戸市。
奈良県,奈良県（ならけん）は、日本の近畿地方に位置する県。県庁所在地は奈良市。
和歌山県,和歌山県（わかやまけん）は、日本の近畿地方に位置する県。県庁所在地は和歌山市。
鳥取県,鳥取県（とっとりけん）は、日本の中国地方（山陰地方）にある県である。県庁所在地および最大都市は鳥取市。
島根県,島根県（しまねけん）は、日本の中国地方（山陰地方）にある県。県庁所在地および最大都市は松江市。
岡山県,岡山県（おかやまけん）は、日本の中国地方（山陽地方）にある県。県庁所在地は岡山市。
広島県,広島県（ひろしまけん、旧字体: 廣島縣）は、日本の中国地方（山陽地方）に位置する県。県庁所在地は広島市。
山口県,山口県（やまぐちけん）は、日本の中国地方に位置する県。県庁所在地は山口市。
