タイトル,内容
ファーストパーソン・シューティングゲーム,ファーストパーソン・シューティングゲーム（和製英語: First person shooting game、英語: First-person shooter、略称: FPS）とは、シューティングゲームの分類の一つで、プレイヤーが操作するキャラクター本人の視点（First-person）でゲーム中の世界や空間を移動し、遠隔武器や魔法などを用いて戦うことを特徴とする[1][2]。「一人称視点シューティングゲーム」とも訳される。
ファーストパーソン・シューティングゲーム,基本的に画面に表示されるのはプレイヤーキャラクターの一部（腕など）と武器・道具のみである。これに対して、プレイヤーキャラクターの後ろ姿が見えるシューティングゲームは、サードパーソン・シューティングゲームと呼ばれる。作品によっては、他のジャンルの要素も取り入れられているが（例えばRPG的にプレーヤーや武器を成長させていくなど）、前述の特徴を満たしていればFPSと見なされる。このジャンルは世界的に人気があり、オンラインでは常に対戦が行われている。FPSの性質上、リアリティの追求が求められることが多く、最先端のコンピュータグラフィクス技術やゲーム技術の実験場にもなっている。
ファーストパーソン・シューティングゲーム,さまざまな分類法があるが、たとえば旧来のFPSの多くは、そのゲーム性から「リアル系FPS」と「スポーツ系FPS」との2つに分けることが出来る。
ファーストパーソン・シューティングゲーム,「リアル系FPS」は実在の武器や戦場など現実を模した世界観設定がされ、キャラクターの身体能力なども現実に近いシビアな設定がされていて、索敵やチーム戦術、一撃必殺の緊張感を売りにした物などが当てはまる。
ファーストパーソン・シューティングゲーム,「スポーツ系FPS」は立体的なマップを縦横無尽に立ち回り、派手なアクションやスピード感を楽しむタイプのもの。 非常にテンポの早い戦闘が繰り広げられ、SFやファンタジーを題材にしているものが多い。基本的に対人対戦のマルチプレイのものが多く、一人用のストーリーモードはオマケ、もしくは全くないという作品も目立つ。いずれも、激しいスピード感を持ちながら一撃必殺の緊張感を持った物や、特殊な動作も無く移動速度も遅いが一撃のダメージは少ない物など様々である。
ファーストパーソン・シューティングゲーム,またいつでも「リアル系」「スポーツ系」と単純に線引きができるわけではなく、現代的な世界観やゲーム設定であるのに内容的にはスポーツタイプであったりと、スポーツ系の要素とリアル系の要素を併せ持ったようなものもある。
ファーストパーソン・シューティングゲーム,現在ではこの旧来の系統では分類できないタイプのFPSが非常に増えてきており、リアル系、スポーツ系の括りで語られるものは少なくなってきている。たとえば『Elebits』のように全く独自のシステム・ゲーム性を持ったものなどである。なお、作品によっては車や戦闘機が登場し、軍用車両に実際に乗り込んで戦ったり戦闘機でドッグファイトを楽しめる物もある。どちらの系統を意識してゲームが設計されたかによって、同じ種別の乗り物であっても操作感はまったく異なる。後に誰でも気軽に遊べるFPSは「カジュアル系FPS」と分類された[3][4][5]。
ファーストパーソン・シューティングゲーム,一人で遊べるシングルプレイFPSと、ネットに接続して遊ぶオンラインプレイFPS、どちらでも可能なFPSに分類することもできる。オンラインプレイFPSの中でも特に多人数が参加するものをMMOFPS（Massively Multiplay Online FPS）と分類することがある。
ファーストパーソン・シューティングゲーム,キルタイムまたはTime to kill（TTK）は、敵プレイヤーに銃弾が命中してから倒すまでの時間を指す[6]。TTKが長いFPSでは、より優れたプレイヤーが勝ちやすい傾向があるが、その一方で敵プレイヤーを簡単に倒せる機会が減少する[7]。TTKが長い例としては『Halo』シリーズ、TTKが短い例としては『Counter-Strike: Global Offensive』や『コール オブ デューティ』シリーズが挙げられる[7][8][9]。
ファーストパーソン・シューティングゲーム,1973年にエイムズ研究センターのImlac PDS-1で開発された『Maze War』が史上初のFPSとされている[10]。1987年にAtari STで発売された『MIDI Maze』は、MIDIポートを用いてFPSで初めてオフラインのマルチプレイヤーを可能にした[11]。
